SSC_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SSC70131,3,0,3,3,0,0,0,0,0,3,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,70
SSC70132,62,34,23,54,34,31,63,29,31,60,24,29,50,144,149,288,34,26,59,40,22,59,25,12,38,22,28,53,18,19,32,137,102,236,15,24,43,27,20,45,34,11,47,9,17,26,22,11,31,110,77,185,12,13,22,18,19,34,12,8,18,8,8,20,14,6,24,65,50,118,3,5,6,3,5,11,3,3,9,0,0,5,0,5,8,16,17,38,9,15,25,3,5,8,3,3,9,0,0,0,0,0,0,2316,2069,4380
SSC70133,6,3,0,4,6,4,12,3,6,9,9,12,16,27,26,50,7,7,9,3,4,5,3,3,8,7,0,7,0,3,4,21,15,39,0,3,3,8,0,5,7,0,7,0,0,0,3,0,3,12,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,247,219,470
SSC70134,3,0,3,3,3,0,3,3,0,3,0,0,0,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,79,151
SSC70135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70136,7,4,0,11,10,0,12,0,4,4,8,6,14,29,15,49,10,3,13,3,8,6,11,5,14,8,6,11,9,3,8,33,21,57,0,3,7,0,3,3,3,0,3,3,3,4,0,0,0,12,8,17,0,0,0,0,0,3,3,0,4,0,0,3,0,0,0,4,4,12,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,500,1081
SSC70137,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,10,0,0,3,0,3,3,0,0,0,0,0,3,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,163,301
SSC70138,25,10,8,19,9,12,24,6,14,24,5,5,11,44,50,95,3,7,13,12,14,23,3,7,16,10,12,26,7,11,11,36,51,84,3,11,18,8,11,16,7,6,11,5,6,10,17,12,28,39,51,88,9,8,11,8,5,9,11,3,9,9,0,8,6,6,9,28,22,51,4,3,11,5,0,5,7,4,7,0,3,4,3,4,8,24,15,38,10,5,14,3,3,7,0,0,0,0,0,0,0,0,0,870,881,1757
SSC70139,4,0,10,10,3,5,4,0,7,5,3,0,6,12,24,31,4,0,4,3,3,11,0,0,3,6,5,9,3,4,4,15,17,30,0,3,3,3,3,4,0,3,3,3,0,3,0,0,0,3,11,14,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,1037,2027
SSC70140,0,3,3,7,0,3,3,4,0,4,0,3,3,7,4,16,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,6,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,169,140,313
