SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC70292,32,2167,929,380,2190,0.9,1899,2.7
SSC70293,31,2600,1376,500,2814,0.9,2743,2.5
SSC70294,35,2205,1014,480,2373,0.9,2281,2.9
SSC70295,29,0,222,55,614,1.4,759,4
SSC70296,29,0,258,75,659,2.2,743,3.7
SSC70297,25,0,327,60,687,1.3,1624,4.4
SSC70298,52,0,875,0,2749,1,900,1.5
SSC70299,26,0,240,35,776,1.7,1610,4.9
SSC70300,27,0,232,25,481,1.5,1042,5.3
SSC70301,28,0,254,50,742,1.4,1190,4.3
SSC70302,31,0,886,147,2097,1.3,1285,1.6
SSC70303,27,2708,1222,550,2625,0.8,2633,3.1
SSC79494,44,0,449,0,0,0,0,0
SSC79797,36,0,700,0,0,0,0,0
