SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC70013,80,356,19,59,0,0,19,59,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,7,9,0,0,103,428,62,..,165,428
SSC70014,719,2130,9,19,0,0,9,19,4,8,0,0,0,0,0,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,741,2167,64,..,801,2167
SSC70015,641,1919,171,365,42,85,211,451,4,11,0,0,0,0,0,0,3,11,22,32,4,3,0,0,0,3,33,43,0,3,885,2423,91,..,976,2423
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC70017,33,159,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,30,159,3,..,31,159
SSC70018,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,..,0,7
SSC70019,39,182,3,14,0,0,3,14,0,0,0,0,0,0,0,0,0,0,11,15,3,4,0,5,0,0,17,18,0,3,55,214,8,..,65,214
SSC70020,39,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,48,212,12,..,61,212
SSC70021,39,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,42,155,26,..,63,155
SSC70022,603,1837,107,242,25,47,131,293,269,602,44,86,45,98,0,0,361,782,0,3,0,0,0,0,0,0,0,3,0,0,1095,2911,138,..,1233,2911
SSC70023,73,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,349,9,..,84,349
SSC70024,142,336,7,3,0,0,7,3,15,17,0,0,0,0,0,0,15,17,9,18,0,0,0,5,0,0,7,22,7,10,177,400,45,..,214,400
SSC70025,217,773,20,40,65,145,83,183,143,356,30,63,67,134,0,0,242,559,0,0,12,19,0,0,0,0,12,19,3,5,554,1542,74,..,629,1542
SSC70026,271,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,5,18,0,0,13,26,4,13,287,793,18,..,304,793
SSC70027,554,1847,73,183,16,43,92,223,79,183,31,61,0,3,0,0,106,240,0,0,0,0,0,0,0,0,0,0,0,0,748,2312,115,..,866,2312
SSC70028,30,138,5,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,143,3,..,37,143
SSC70029,29,81,100,247,0,0,100,247,4,7,0,0,0,0,0,0,4,7,22,51,0,3,3,6,0,3,26,62,12,25,173,415,59,..,231,415
SSC70030,230,691,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,16,3,4,3,7,0,0,14,28,3,6,253,726,21,..,275,726
SSC70031,63,437,22,93,0,0,22,93,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,84,545,3,..,88,545
SSC70032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,..,3,0
SSC70033,25,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,189,6,..,36,189
SSC70034,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,0,0,0,0,0,0,12,23,0,0,17,43,0,..,20,43
SSC70035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC70036,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,44,0,..,16,44
SSC70037,139,630,6,21,0,0,6,21,6,12,0,0,0,0,0,0,6,12,9,18,3,17,7,27,3,5,29,62,6,11,184,729,37,..,221,729
SSC70038,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,..,8,28
SSC70039,801,2247,132,259,32,73,166,338,5,13,0,0,0,0,0,0,5,13,15,20,3,9,0,7,3,3,24,36,9,5,996,2637,151,..,1145,2637
SSC70040,146,428,114,287,48,129,163,414,0,0,39,92,0,0,0,0,39,92,0,0,0,0,0,0,0,5,0,5,0,0,346,937,22,..,372,937
SSC70041,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37,7,..,24,37
SSC70042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC70043,38,217,3,45,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,46,263,0,..,46,263
SSC70044,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,0,9,15,10,..,15,15
SSC70045,43,163,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,42,169,18,..,67,169
SSC70046,34,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,5,40,81,18,..,59,81
SSC70047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC70048,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,5,34,11,..,13,34
SSC70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC70050,33,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,171,8,..,39,171
SSC70051,3,5,0,0,0,0,0,0,0,0,28,76,0,0,0,0,28,76,0,3,0,0,0,0,0,0,3,0,0,0,31,90,5,..,41,90
SSC70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC70053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC70054,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,..,5,7
SSC70055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,..,8,0
SSC70056,26,89,16,45,3,4,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,46,32,46,12,20,94,203,11,..,102,203
SSC70057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC70058,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,..,3,22
SSC70059,279,812,255,481,184,433,438,918,208,399,83,202,125,279,0,3,414,886,0,0,0,0,0,3,4,7,3,8,7,8,1142,2635,158,..,1297,2635
SSC70060,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,..,4,3
SSC70061,111,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,10,7,0,0,124,342,3,..,126,342
