X,Y,MarkerID,Name,Alternate_Name,Type,Facilities_List,Recreation_Activity_List,Address,SUBURB,Link,Disability_Accessible,Playground,Playground_Accessible,Playground_Shaded,Wifi,BBQ,Picnic_Tables,Drinking_Fountains,Toilets_Daylight,Toilets_24hrs,Toilets_Restricted,Showers,Baby_Change,Bicycle_Walk_Paths,Bike_Racks,Exercise_Equipment,Sports_Field_Lighting,Soccer,AFL,Basketball,Tennis,Cricket,Cycling,Swimming,Skateboarding,Watercraft,Rugby,Gaelic,Softball,CENTROID_X,CENTROID_Y,OBJECTID,LAISKEY,Area_m,Park_Class,Ward,Notes
130.890735889604173,-12.368476455843426,PK11,Kailis Park, ,Park,"Accessible,Playground",,25 Kailis St Wanguri,Wanguri,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.890735918859,-12.368476413964,264,550     06663,3880,Neighbourhood,Richardson, 
130.88874305211209,-12.354981014547764,PK12,Tommy Lyons Park, ,Park,"Accessible,Bicycle/Walking Paths",,17 Dawarra Cres Lyons,Lyons,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.88880142586,-12.3549945789596,265,550     10279,4740,Neighbourhood,Richardson, 
130.88979776225446,-12.36078582586596,PK13,Matla Park,Diditma Park,Park,"Accessible,Bicycle/Walking Paths,Playground",,58 Matla Cres Lyons,Lyons,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.889810869035,-12.3608085670276,266,550     10071,3780,Neighbourhood,Richardson, 
130.89113083303576,-12.363856803582319,PK14,Dangoerra Park, ,Park,"Accessible,Bicycle/Walking Paths,Playground",,2 Dangoerra St Lyons,Lyons,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.891174549588,-12.3639142909074,267,550     09956,4440,Neighbourhood,Richardson, 
130.893980086714066,-12.365520313694187,PK15,Blackburn St Park, ,Park,"Accessible,Bicycle/Walking Paths",,14 Blackburn St Muirhead,Muirhead,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.893559072693,-12.3651958844535,268,550     10962,10300,District,Richardson, 
130.896231270594029,-12.365254824690632,PK16,Withnall Street Park, ,Park,Accessible,,10 Dreier St Muirhead,Muirhead,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.896239849356,-12.3652439734255,269,550     11235,13000,District,Richardson,Also Lot  11229
130.887059345891885,-12.35201301817251,PK17,Bilingga Park, ,Park,"Accessible,Bicycle/Walking Paths,Playground",,10 Bilingga St Lyons,Lyons,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.887102462611,-12.3520227967065,270,550     10353,7700,Neighbourhood,Richardson, 
130.891939067722944,-12.358000828400019,PK18,Bowditch St Park, ,Park,"Accessible,Bicycle/Walking Paths",,31 Bowditch St Muirhead,Muirhead,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.891778874311,-12.358007210181,271,550     10734,16600,District,Richardson, 
130.876951094380871,-12.360824898576329,PK19,Marraki Park, ,Park,Accessible,,25 Marrakai St Tiwi,Tiwi,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.876997408313,-12.3607918377284,272,550     07177,5280,Neighbourhood,Richardson, 
130.877120233338019,-12.359995427047171,PK20,Glencoe Park, ,Park,Accessible,,60 Rocklands Dr Tiwi,Tiwi,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.877123508071,-12.3599927111943,273,550     07063,1770,Neighbourhood,Richardson, 
