SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC70093,0,0,0,0,4,4,4,14,7,37
SSC70094,0,0,0,135,19,6,6,50,19,242
SSC70095,0,0,0,23,39,21,13,8,3,114
SSC70096,0,0,0,5,15,5,22,11,17,76
SSC70097,53,11,79,588,609,220,133,381,257,2199
SSC70098,14,0,12,286,312,110,93,204,95,1101
SSC70099,0,0,0,14,40,46,3,28,12,139
SSC70100,0,0,0,9,8,3,0,11,27,50
SSC70101,0,0,0,11,16,17,3,9,15,72
SSC70102,0,0,0,20,44,11,12,22,27,128
SSC70103,0,0,0,3,3,0,0,11,17,44
SSC70104,0,0,0,10,11,3,0,37,11,74
SSC70105,0,0,0,4,5,5,0,4,6,25
SSC70106,0,0,0,721,428,69,39,199,45,1505
SSC70107,0,0,0,32,16,14,13,306,279,652
SSC70108,0,0,0,18,12,8,3,24,33,102
SSC70109,7,3,20,722,870,328,214,655,493,3296
SSC70110,0,0,0,280,405,196,116,161,105,1268
SSC70111,0,0,0,0,0,0,0,0,0,0
SSC70112,11,6,25,489,621,226,163,585,410,2498
SSC70113,0,0,0,18,4,0,3,18,11,56
SSC70114,0,0,0,0,0,0,0,0,0,3
SSC70115,0,0,0,227,281,44,59,120,135,876
SSC70116,0,3,3,507,615,198,157,347,154,1983
SSC70117,0,0,0,0,0,0,0,4,0,4
SSC70118,0,0,0,10,23,34,86,18,16,183
SSC70119,0,0,0,4,0,0,0,8,5,19
SSC70120,0,0,0,19,34,25,12,6,11,98
SSC70121,0,0,0,8,15,3,3,7,40,73
SSC70122,0,0,0,25,19,15,3,37,22,118
