SSC_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SSC70247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,5,4,5,3,0,3,0,0,0,4,3,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,31,10,43
SSC70248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC70249,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9
SSC70250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,3,10
SSC70251,3,0,7,3,6,5,4,24,27,3,17,22,14,15,29,21,17,35,30,18,43,36,28,72,39,35,76,37,19,52,29,27,55,42,24,68,65,33,96,61,3,65,35,4,41,26,8,32,33,3,34,71,3,74,24,17,39,560,308,865
SSC70252,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,3,0,3,5,0,5,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,34,0,34
SSC70253,3,0,5,0,4,4,0,6,12,0,6,11,7,17,27,3,9,9,6,23,28,12,31,43,21,39,58,13,25,41,23,24,44,22,21,47,51,24,75,48,7,58,33,5,36,13,7,20,17,8,17,32,10,47,3,8,15,301,282,590
SSC70254,0,6,6,0,0,0,0,4,4,0,11,11,3,13,14,0,3,8,3,7,9,0,7,11,6,6,11,6,8,16,6,3,12,11,10,25,31,22,48,17,4,20,17,8,25,18,7,26,30,3,34,16,12,25,0,3,7,173,138,313
SSC70255,0,5,5,0,3,3,3,15,17,0,19,19,4,17,27,3,4,11,3,3,9,3,0,8,11,4,12,3,5,11,3,4,7,7,3,9,23,10,31,8,0,11,3,0,7,6,3,11,27,0,28,14,3,12,3,3,3,125,98,226
SSC70256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,0,0,7,0,0,0,5,0,4,0,0,0,0,0,0,0,0,4,0,0,0,16,13,27
SSC70257,0,0,0,0,0,0,0,3,3,0,3,3,0,3,4,0,0,0,0,0,3,7,0,4,0,3,4,3,0,6,0,0,0,3,0,4,8,3,9,4,0,4,0,0,0,0,0,0,4,0,4,9,0,9,0,3,3,41,27,71
SSC70258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,5,12,0,10,17,0,20,18,0,18,35,0,35,34,0,34,10,0,10,10,0,10,3,0,3,17,0,19,0,0,0,172,9,186
SSC70259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,11
SSC70260,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,4,0,3,8,0,7,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,4,35,11,47
SSC70261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70262,6,4,7,0,0,4,3,4,6,4,10,12,7,17,22,5,16,23,15,17,32,19,12,29,29,21,47,39,13,49,33,14,40,36,14,50,83,20,101,56,3,57,51,6,55,32,4,40,83,3,85,73,7,85,8,14,19,574,204,781
SSC70263,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,5,0,7,0,0,0,3,3,3,4,0,4,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,32,6,41
SSC70264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC70266,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,5,0,3,3,4,0,4,5,0,4,0,0,0,0,0,0,5,0,6,3,0,3,3,0,3,4,0,4,8,0,9,3,0,3,0,0,3,46,11,55
SSC70267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,7,3,3,0,0,0,0,0,3,3,3,8,4,0,4,3,0,3,0,0,0,0,0,0,7,0,7,46,0,46,78,9,84
SSC70268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,3,0,3,3,0,3,3,0,3,7,0,7,11,0,14,0,0,0,41,14,51
SSC70270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,16
SSC70272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,4,4,0,4,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,19,15,30
SSC70274,8,7,9,0,0,0,0,0,0,0,0,3,11,3,19,3,8,7,11,10,13,14,12,27,18,16,33,22,16,38,13,13,22,22,3,23,62,14,80,42,0,40,59,0,59,40,3,48,92,7,101,48,0,53,14,8,20,461,128,588
